_id,productGeneral__cusip,productProtection__downsideType,productId,productGeneral__isin,id,
"ObjectId(""6091bb24ceaed57246684608"")",06748EMJ9,BUFFER,"UUID(""3ea698d9-ccea-44b5-8253-6b45949d42ce"")",,06748EMJ9,
"ObjectId(""6091bb02ceaed572466845d6"")",61771VYC8,BARRIER,"UUID(""549e8316-3203-49e1-aae3-cb8a6e888ddc"")",,61771VYC8,
"ObjectId(""6091bafbceaed572466845ca"")",61771VXM7,BUFFER,"UUID(""dd095c82-c028-4f0f-a07b-80b7d34658e2"")",,61771VXM7,
"ObjectId(""6091baeeceaed572466845b4"")",61771VXQ8,BARRIER,"UUID(""387cb0de-a128-43b8-b6e6-691a328da7e9"")",,61771VXQ8,
"ObjectId(""6091bac5ceaed5724668456a"")",06748EMH3,BARRIER,"UUID(""0bc30b36-debc-49a8-8497-a8cfb940d129"")",,06748EMH3,
"ObjectId(""6091bac2ceaed57246684564"")",40439JAB1,BARRIER,"UUID(""d311f485-dcf9-41e5-90ec-521411a2e5ad"")",,40439JAB1,
"ObjectId(""6091bab4ceaed57246684548"")",05600MXX7,BUFFER,"UUID(""fbc5f197-1ee1-4e7e-8105-edc820f0d8d6"")",,05600MXX7,
"ObjectId(""608ccb39ceaed572466829bb"")",06747R436,BARRIER,"UUID(""8c97b2bd-cbd9-4c0d-aa6c-579274645190"")",,06747R436,
"ObjectId(""608b79bbceaed57246682408"")",90278Y283,BARRIER,"UUID(""5b39b222-4efa-418b-8256-6b9faa5dbf64"")",,90278Y283,
"ObjectId(""608b79baecc0cb6ce10ddf48"")",90278Y275,BARRIER,"UUID(""b6cfbd5f-5c6b-4781-9f62-0521a85b68d4"")",,90278Y275,
"ObjectId(""608b79b9ecc0cb6ce10ddf46"")",90278Y267,BARRIER,"UUID(""53ff4754-b3c8-49b4-b510-0f62580ee0f4"")",,90278Y267,
"ObjectId(""608a283aceaed572466822d2"")",48132V374,BARRIER,"UUID(""deab26cf-7c0d-4bb8-8ca4-b53d23ca18f5"")",,48132V374,
"ObjectId(""608a2839ecc0cb6ce10dde0f"")",61771VVC1,BARRIER,"UUID(""020ff100-f278-4f52-8fd3-a39f02daf46c"")",,61771VVC1,
"ObjectId(""6088d6cbceaed57246681c41"")",36260W470,BARRIER,"UUID(""1ce76108-977c-4af6-af69-3b4f973c9e54"")",,36260W470,
"ObjectId(""6088d6caecc0cb6ce10dd60d"")",06748EL43,BARRIER,"UUID(""373dcc95-cdc7-423d-958f-8eece86fc1c1"")",,06748EL43,
"ObjectId(""6088d6c9ceaed57246681c3f"")",06748EKT9,BARRIER,"UUID(""57669b33-27d9-41c3-a699-20f522eeea85"")",,06748EKT9,
"ObjectId(""6088d6c6ceaed57246681c3d"")",17329D109,BARRIER,"UUID(""3ae55bf5-4676-4380-adc1-5d7f71b74950"")",,17329D109,
"ObjectId(""6088d6c5ecc0cb6ce10dd60a"")",06747R469,BARRIER,"UUID(""bda74c71-9275-4960-9550-30a08c45721a"")",,06747R469,
"ObjectId(""6088d6c4ceaed57246681c3b"")",36260W397,BARRIER,"UUID(""cdc84554-afb8-4c2b-a091-bbfccf5d5211"")",,36260W397,
"ObjectId(""6088d6c2ecc0cb6ce10dd608"")",61772X238,BARRIER,"UUID(""5e9cbded-bede-4776-a847-d78ff94ce09b"")",,61772X238,
"ObjectId(""6088d6c1ecc0cb6ce10dd606"")",06747R485,BARRIER,"UUID(""73ada753-0bbb-4177-b20b-e0f724e5f3cb"")",,06747R485,
"ObjectId(""6088d6c1ceaed57246681c38"")",36260W389,BARRIER,"UUID(""d318fa84-3790-426b-b23c-928c5ae8d97f"")",,36260W389,
"ObjectId(""6088d6c0ecc0cb6ce10dd604"")",06747R493,BARRIER,"UUID(""526d8efc-8fc5-4bd2-98f6-a0df7870e67e"")",,06747R493,
"ObjectId(""6088d6bfceaed57246681c36"")",78014M820,BARRIER,"UUID(""a877d3c2-5037-4850-8941-67fec32543c7"")",,78014M820,
"ObjectId(""6088d6beceaed57246681c34"")",61772X253,BARRIER,"UUID(""696ddb67-71d0-49a6-8a53-26140dd59427"")",,61772X253,
"ObjectId(""6088d6bdecc0cb6ce10dd602"")",36260W371,BARRIER,"UUID(""5bce722e-91a8-44ad-9b7c-5cd1371308e5"")",,36260W371,
"ObjectId(""6088d6bbecc0cb6ce10dd600"")",06748EKA0,BARRIER,"UUID(""befa95af-ec5b-4911-bb4e-89309ad9128d"")",,06748EKA0,
"ObjectId(""6088d6baecc0cb6ce10dd5fe"")",61771VVA5,BARRIER,"UUID(""7e30c8bb-4a4a-4a56-9a98-c9404a1de672"")",,61771VVA5,
"ObjectId(""608390be9b93411e3d512277"")",36260W413,BARRIER,"UUID(""b25643ae-de96-41c1-ae75-512a7817686e"")",,36260W413,
